tx,ty,tz
-400.0,-5.0,-450.0
-400.0,-5.0,-475.0
-400.0,-5.0,-500.0
-375.0,-5.0,500.0
-375.0,-5.0,475.0
-375.0,-5.0,450.0
-375.0,-5.0,425.0
-375.0,-5.0,400.0
-375.0,-5.0,375.0
-375.0,-5.0,350.0
-375.0,-5.0,325.0
-375.0,-5.0,300.0
-375.0,-5.0,275.0
-375.0,-5.0,250.0
-375.0,-5.0,225.0
-375.0,-5.0,200.0
-375.0,-5.0,175.0
-375.0,-5.0,150.0
-375.0,-5.0,125.0
-375.0,-5.0,100.0
-375.0,-5.0,75.0
-375.0,-5.0,50.0
-375.0,-5.0,25.0
-375.0,-5.0,0.0
-375.0,-5.0,-25.0
-375.0,-5.0,-50.0
-375.0,-5.0,-75.0
-375.0,-5.0,-100.0
-375.0,-5.0,-125.0
-375.0,-5.0,-150.0
-375.0,-5.0,-175.0
-375.0,-5.0,-200.0
-375.0,-5.0,-225.0
-375.0,-5.0,-250.0
-375.0,-5.0,-275.0
-375.0,-5.0,-300.0
-375.0,-5.0,-325.0
-375.0,-5.0,-350.0
-375.0,-5.0,-375.0
-375.0,-5.0,-400.0
-375.0,-5.0,-425.0
-375.0,-5.0,-450.0
-375.0,-5.0,-475.0
-375.0,-5.0,-500.0
-350.0,-5.0,500.0
-350.0,-5.0,475.0
-350.0,-5.0,450.0
-350.0,-5.0,425.0
-350.0,-5.0,400.0
-350.0,-5.0,375.0
-350.0,-5.0,350.0
-350.0,-5.0,325.0
-350.0,-5.0,300.0
-350.0,-5.0,275.0
-350.0,-5.0,250.0
-350.0,-5.0,225.0
-350.0,-5.0,200.0
-350.0,-5.0,175.0
-350.0,-5.0,150.0
-350.0,-5.0,125.0
-350.0,-5.0,100.0
-350.0,-5.0,75.0
-350.0,-5.0,50.0
-350.0,-5.0,25.0
-350.0,-5.0,0.0
-350.0,-5.0,-25.0
-350.0,-5.0,-50.0
-350.0,-5.0,-75.0
-350.0,-5.0,-100.0
-350.0,-5.0,-125.0
-350.0,-5.0,-150.0
-350.0,-5.0,-175.0
-350.0,-5.0,-200.0
-350.0,-5.0,-225.0
-350.0,-5.0,-250.0
-350.0,-5.0,-275.0
-350.0,-5.0,-300.0
-350.0,-5.0,-325.0
-350.0,-5.0,-350.0
-350.0,-5.0,-375.0
-350.0,-5.0,-400.0
-350.0,-5.0,-425.0
-350.0,-5.0,-450.0
-350.0,-5.0,-475.0
-350.0,-5.0,-500.0
-325.0,-5.0,500.0
-325.0,-5.0,475.0
-325.0,-5.0,450.0
-325.0,-5.0,425.0
-325.0,-5.0,400.0
-325.0,-5.0,375.0
-325.0,-5.0,350.0
-325.0,-5.0,325.0
-325.0,-5.0,300.0
-325.0,-5.0,275.0
-325.0,-5.0,250.0
-325.0,-5.0,225.0
-325.0,-5.0,200.0
-325.0,-5.0,175.0
-325.0,-5.0,150.0
-325.0,-5.0,125.0
-325.0,-5.0,100.0
-325.0,-5.0,75.0
-325.0,-5.0,50.0
-325.0,-5.0,25.0
-325.0,-5.0,0.0
-325.0,-5.0,-25.0
-325.0,-5.0,-50.0
-325.0,-5.0,-75.0
-325.0,-5.0,-100.0
-325.0,-5.0,-125.0
-325.0,-5.0,-150.0
-325.0,-5.0,-175.0
-325.0,-5.0,-200.0
-325.0,-5.0,-225.0
-325.0,-5.0,-250.0
-325.0,-5.0,-275.0
-325.0,-5.0,-300.0
-325.0,-5.0,-325.0
-325.0,-5.0,-350.0
-325.0,-5.0,-375.0
-325.0,-5.0,-400.0
-325.0,-5.0,-425.0
-325.0,-5.0,-450.0
-325.0,-5.0,-475.0
-325.0,-5.0,-500.0
-300.0,-5.0,500.0
-300.0,-5.0,475.0
-300.0,-5.0,450.0
-300.0,-5.0,425.0
-300.0,-5.0,400.0
-300.0,-5.0,375.0
-300.0,-5.0,350.0
-300.0,-5.0,325.0
-300.0,-5.0,300.0
-300.0,-5.0,275.0
-300.0,-5.0,250.0
-300.0,-5.0,225.0
-300.0,-5.0,200.0
-300.0,-5.0,175.0
-300.0,-5.0,150.0
-300.0,-5.0,125.0
-300.0,-5.0,100.0
-300.0,-5.0,75.0
-300.0,-5.0,50.0
-300.0,-5.0,25.0
-300.0,-5.0,0.0
-300.0,-5.0,-25.0
-300.0,-5.0,-50.0
-300.0,-5.0,-75.0
-300.0,-5.0,-100.0
-300.0,-5.0,-125.0
-300.0,-5.0,-150.0
-300.0,-5.0,-175.0
-300.0,-5.0,-200.0
-300.0,-5.0,-225.0
-300.0,-5.0,-250.0
-300.0,-5.0,-275.0
-300.0,-5.0,-300.0
-300.0,-5.0,-325.0
-300.0,-5.0,-350.0
-300.0,-5.0,-375.0
-300.0,-5.0,-400.0
-300.0,-5.0,-425.0
-300.0,-5.0,-450.0
-300.0,-5.0,-475.0
-300.0,-5.0,-500.0
-275.0,-5.0,500.0
-275.0,-5.0,475.0
-275.0,-5.0,450.0
-275.0,-5.0,425.0
-275.0,-5.0,400.0
-275.0,-5.0,375.0
-275.0,-5.0,350.0
-275.0,-5.0,325.0
-275.0,-5.0,300.0
-275.0,-5.0,275.0
-275.0,-5.0,250.0
-275.0,-5.0,225.0
-275.0,-5.0,200.0
-275.0,-5.0,175.0
-275.0,-5.0,150.0
-275.0,-5.0,125.0
-275.0,-5.0,100.0
-275.0,-5.0,75.0
-275.0,-5.0,50.0
-275.0,-5.0,25.0
-275.0,-5.0,0.0
-275.0,-5.0,-25.0
-275.0,-5.0,-50.0
-275.0,-5.0,-75.0
-275.0,-5.0,-100.0
-275.0,-5.0,-125.0
-275.0,-5.0,-150.0
-275.0,-5.0,-175.0
-275.0,-5.0,-200.0
-275.0,-5.0,-225.0
-275.0,-5.0,-250.0
-275.0,-5.0,-275.0
-275.0,-5.0,-300.0
-275.0,-5.0,-325.0
-275.0,-5.0,-350.0
-275.0,-5.0,-375.0
-275.0,-5.0,-400.0
-275.0,-5.0,-425.0
-275.0,-5.0,-450.0
-275.0,-5.0,-475.0
-275.0,-5.0,-500.0
-250.0,-5.0,500.0
-250.0,-5.0,475.0
-250.0,-5.0,450.0
-250.0,-5.0,425.0
-250.0,-5.0,400.0
-250.0,-5.0,375.0
-250.0,-5.0,350.0
-250.0,-5.0,325.0
-250.0,-5.0,300.0
-250.0,-5.0,275.0
-250.0,-5.0,250.0
-250.0,-5.0,225.0
-250.0,-5.0,200.0
-250.0,-5.0,175.0
-250.0,-5.0,150.0
-250.0,6.7,125.0
-250.0,10.4,100.0
-250.0,-5.0,75.0
-250.0,-5.0,50.0
-250.0,-5.0,25.0
-250.0,-5.0,0.0
-250.0,-5.0,-25.0
-250.0,-5.0,-50.0
-250.0,-5.0,-75.0
-250.0,-5.0,-100.0
-250.0,-5.0,-125.0
-250.0,-5.0,-150.0
-250.0,-5.0,-175.0
-250.0,-5.0,-200.0
-250.0,-5.0,-225.0
-250.0,-5.0,-250.0
-250.0,-5.0,-275.0
-250.0,-5.0,-300.0
-250.0,-5.0,-325.0
-250.0,-5.0,-350.0
-250.0,-5.0,-375.0
-250.0,-5.0,-400.0
-250.0,-5.0,-425.0
-250.0,-5.0,-450.0
-250.0,-5.0,-475.0
-250.0,-5.0,-500.0
-225.0,-5.0,500.0
-225.0,-5.0,475.0
-225.0,-5.0,450.0
-225.0,-5.0,425.0
-225.0,-5.0,400.0
-225.0,-5.0,375.0
-225.0,-5.0,350.0
-225.0,-5.0,325.0
-225.0,-5.0,300.0
-225.0,-5.0,275.0
-225.0,-5.0,250.0
-225.0,18.4,225.0
-225.0,18.4,200.0
-225.0,30.1,175.0
-225.0,25.3,150.0
-225.0,18.4,125.0
-225.0,18.4,100.0
-225.0,-5.0,75.0
-225.0,-5.0,50.0
-225.0,-5.0,25.0
-225.0,-5.0,0.0
-225.0,-5.0,-25.0
-225.0,-5.0,-50.0
-225.0,-5.0,-75.0
-225.0,-5.0,-100.0
-225.0,-5.0,-125.0
-225.0,-5.0,-150.0
-225.0,-5.0,-175.0
-225.0,-5.0,-200.0
-225.0,-5.0,-225.0
-225.0,-5.0,-250.0
-225.0,-5.0,-275.0
-225.0,-5.0,-300.0
-225.0,-5.0,-325.0
-225.0,-5.0,-350.0
-225.0,-5.0,-375.0
-225.0,-5.0,-400.0
-225.0,-5.0,-425.0
-225.0,-5.0,-450.0
-225.0,-5.0,-475.0
-225.0,-5.0,-500.0
-200.0,-5.0,500.0
-200.0,-5.0,475.0
-200.0,-5.0,450.0
-200.0,-5.0,425.0
-200.0,-5.0,400.0
-200.0,-5.0,375.0
-200.0,-5.0,350.0
-200.0,-5.0,325.0
-200.0,27.2,300.0
-200.0,27.2,275.0
-200.0,27.2,250.0
-200.0,38.9,225.0
-200.0,30.1,200.0
-200.0,30.1,175.0
-200.0,37.0,150.0
-200.0,18.4,125.0
-200.0,18.4,100.0
-200.0,-5.0,75.0
-200.0,-5.0,50.0
-200.0,-5.0,25.0
-200.0,-5.0,0.0
-200.0,-5.0,-25.0
-200.0,-5.0,-50.0
-200.0,-5.0,-75.0
-200.0,-5.0,-100.0
-200.0,-5.0,-125.0
-200.0,-5.0,-150.0
-200.0,-5.0,-175.0
-200.0,-5.0,-200.0
-200.0,-5.0,-225.0
-200.0,-5.0,-250.0
-200.0,-5.0,-275.0
-200.0,-5.0,-300.0
-200.0,-5.0,-325.0
-200.0,-5.0,-350.0
-200.0,-5.0,-375.0
-200.0,-5.0,-400.0
-200.0,-5.0,-425.0
-200.0,-5.0,-450.0
-200.0,-5.0,-475.0
-200.0,-5.0,-500.0
-175.0,-5.0,500.0
-175.0,-5.0,475.0
-175.0,-5.0,450.0
-175.0,-5.0,425.0
-175.0,-5.0,400.0
-175.0,-5.0,375.0
-175.0,-5.0,350.0
-175.0,-5.0,325.0
-175.0,18.4,300.0
-175.0,18.4,275.0
-175.0,48.6,250.0
-175.0,48.6,225.0
-175.0,30.1,200.0
-175.0,27.2,175.0
-175.0,25.3,150.0
-175.0,25.3,125.0
-175.0,18.4,100.0
-175.0,-5.0,75.0
-175.0,-5.0,50.0
-175.0,-5.0,25.0
-175.0,-5.0,0.0
-175.0,-5.0,-25.0
-175.0,-5.0,-50.0
-175.0,-5.0,-75.0
-175.0,-5.0,-100.0
-175.0,-5.0,-125.0
-175.0,-5.0,-150.0
-175.0,-5.0,-175.0
-175.0,-5.0,-200.0
-175.0,-5.0,-225.0
-175.0,-5.0,-250.0
-175.0,-5.0,-275.0
-175.0,-5.0,-300.0
-175.0,-5.0,-325.0
-175.0,-5.0,-350.0
-175.0,-5.0,-375.0
-175.0,-5.0,-400.0
-175.0,-5.0,-425.0
-175.0,-5.0,-450.0
-175.0,-5.0,-475.0
-175.0,-5.0,-500.0
-150.0,-5.0,500.0
-150.0,-5.0,475.0
-150.0,-5.0,450.0
-150.0,-5.0,425.0
-150.0,-5.0,400.0
-150.0,-5.0,375.0
-150.0,-5.0,350.0
-150.0,-5.0,325.0
-150.0,18.4,300.0
-150.0,36.9,275.0
-150.0,48.6,250.0
-150.0,36.9,225.0
-150.0,18.4,200.0
-150.0,18.4,175.0
-150.0,44.8,150.0
-150.0,28.2,125.0
-150.0,28.2,100.0
-150.0,21.3,75.0
-150.0,21.3,50.0
-150.0,-5.0,25.0
-150.0,-5.0,0.0
-150.0,-5.0,-25.0
-150.0,-5.0,-50.0
-150.0,-5.0,-75.0
-150.0,-5.0,-100.0
-150.0,-5.0,-125.0
-150.0,-5.0,-150.0
-150.0,-5.0,-175.0
-150.0,-5.0,-200.0
-150.0,-5.0,-225.0
-150.0,-5.0,-250.0
-150.0,-5.0,-275.0
-150.0,-5.0,-300.0
-150.0,-5.0,-325.0
-150.0,-5.0,-350.0
-150.0,-5.0,-375.0
-150.0,-5.0,-400.0
-150.0,-5.0,-425.0
-150.0,-5.0,-450.0
-150.0,-5.0,-475.0
-150.0,-5.0,-500.0
-125.0,-5.0,500.0
-125.0,-5.0,475.0
-125.0,-5.0,450.0
-125.0,-5.0,425.0
-125.0,-5.0,400.0
-125.0,-5.0,375.0
-125.0,-5.0,350.0
-125.0,-5.0,325.0
-125.0,18.4,300.0
-125.0,18.4,275.0
-125.0,36.9,250.0
-125.0,36.9,225.0
-125.0,48.5,200.0
-125.0,30.0,175.0
-125.0,44.8,150.0
-125.0,21.3,125.0
-125.0,21.3,100.0
-125.0,21.3,75.0
-125.0,21.3,50.0
-125.0,-5.0,25.0
-125.0,-5.0,0.0
-125.0,-5.0,-25.0
-125.0,-5.0,-50.0
-125.0,-5.0,-75.0
-125.0,-5.0,-100.0
-125.0,-5.0,-125.0
-125.0,-5.0,-150.0
-125.0,-5.0,-175.0
-125.0,-5.0,-200.0
-125.0,-5.0,-225.0
-125.0,-5.0,-250.0
-125.0,-5.0,-275.0
-125.0,-5.0,-300.0
-125.0,-5.0,-325.0
-125.0,-5.0,-350.0
-125.0,-5.0,-375.0
-125.0,-5.0,-400.0
-125.0,-5.0,-425.0
-125.0,-5.0,-450.0
-125.0,-5.0,-475.0
-125.0,-5.0,-500.0
-100.0,-5.0,500.0
-100.0,-5.0,475.0
-100.0,-5.0,450.0
-100.0,-5.0,425.0
-100.0,-5.0,400.0
-100.0,-5.0,375.0
-100.0,-5.0,350.0
-100.0,-5.0,325.0
-100.0,18.4,300.0
-100.0,18.4,275.0
-100.0,36.9,250.0
-100.0,48.5,225.0
-100.0,48.5,200.0
-100.0,30.0,175.0
-100.0,44.8,150.0
-100.0,21.3,125.0
-100.0,33.6,100.0
-100.0,42.3,75.0
-100.0,42.3,50.0
-100.0,-5.0,25.0
-100.0,-5.0,0.0
-100.0,16.0,-25.0
-100.0,13.7,-50.0
-100.0,45.4,-75.0
-100.0,-5.0,-100.0
-100.0,-5.0,-125.0
-100.0,-5.0,-150.0
-100.0,-5.0,-175.0
-100.0,-5.0,-200.0
-100.0,-5.0,-225.0
-100.0,-5.0,-250.0
-100.0,-5.0,-275.0
-100.0,-5.0,-300.0
-100.0,-5.0,-325.0
-100.0,-5.0,-350.0
-100.0,-5.0,-375.0
-100.0,-5.0,-400.0
-100.0,-5.0,-425.0
-100.0,-5.0,-450.0
-100.0,-5.0,-475.0
-100.0,-5.0,-500.0
-75.0,-5.0,500.0
-75.0,-5.0,475.0
-75.0,-5.0,450.0
-75.0,-5.0,425.0
-75.0,-5.0,400.0
-75.0,-5.0,375.0
-75.0,-5.0,350.0
-75.0,-5.0,325.0
-75.0,18.4,300.0
-75.0,18.4,275.0
-75.0,36.9,250.0
-75.0,36.9,225.0
-75.0,48.5,200.0
-75.0,30.0,175.0
-75.0,44.8,150.0
-75.0,44.8,125.0
-75.0,21.3,100.0
-75.0,42.3,75.0
-75.0,42.3,50.0
-75.0,62.8,25.0
-75.0,62.8,0.0
-75.0,62.8,-25.0
-75.0,13.7,-50.0
-75.0,45.4,-75.0
-75.0,-5.0,-100.0
-75.0,-5.0,-125.0
-75.0,-5.0,-150.0
-75.0,-5.0,-175.0
-75.0,-5.0,-200.0
-75.0,-5.0,-225.0
-75.0,-5.0,-250.0
-75.0,-5.0,-275.0
-75.0,-5.0,-300.0
-75.0,-5.0,-325.0
-75.0,-5.0,-350.0
-75.0,-5.0,-375.0
-75.0,-5.0,-400.0
-75.0,-5.0,-425.0
-75.0,-5.0,-450.0
-75.0,-5.0,-475.0
-75.0,-5.0,-500.0
-50.0,-5.0,500.0
-50.0,-5.0,475.0
-50.0,-5.0,450.0
-50.0,-5.0,425.0
-50.0,-5.0,400.0
-50.0,-5.0,375.0
-50.0,-5.0,350.0
-50.0,-5.0,325.0
-50.0,18.4,300.0
-50.0,18.4,275.0
-50.0,18.4,250.0
-50.0,13.5,225.0
-50.0,-5.0,200.0
-50.0,-5.0,175.0
-50.0,21.3,150.0
-50.0,34.9,125.0
-50.0,33.1,100.0
-50.0,42.3,75.0
-50.0,70.5,50.0
-50.0,62.8,25.0
-50.0,62.8,0.0
-50.0,62.8,-25.0
-50.0,94.6,-50.0
-50.0,45.4,-75.0
-50.0,45.4,-100.0
-50.0,26.8,-125.0
-50.0,-5.0,-150.0
-50.0,-5.0,-175.0
-50.0,-5.0,-200.0
-50.0,-5.0,-225.0
-50.0,-5.0,-250.0
-50.0,-5.0,-275.0
-50.0,-5.0,-300.0
-50.0,-5.0,-325.0
-50.0,-5.0,-350.0
-50.0,-5.0,-375.0
-50.0,-5.0,-400.0
-50.0,-5.0,-425.0
-50.0,-5.0,-450.0
-50.0,-5.0,-475.0
-50.0,-5.0,-500.0
-25.0,-5.0,500.0
-25.0,-5.0,475.0
-25.0,-5.0,450.0
-25.0,-5.0,425.0
-25.0,-5.0,400.0
-25.0,-5.0,375.0
-25.0,-5.0,350.0
-25.0,-5.0,325.0
-25.0,-5.0,300.0
-25.0,-5.0,275.0
-25.0,-5.0,250.0
-25.0,-5.0,225.0
-25.0,-5.0,200.0
-25.0,-5.0,175.0
-25.0,21.3,150.0
-25.0,27.9,125.0
-25.0,35.3,100.0
-25.0,47.0,75.0
-25.0,42.3,50.0
-25.0,62.8,25.0
-25.0,62.8,0.0
-25.0,73.7,-25.0
-25.0,73.7,-50.0
-25.0,73.7,-75.0
-25.0,45.4,-100.0
-25.0,26.8,-125.0
-25.0,78.4,-150.0
-25.0,-5.0,-175.0
-25.0,-5.0,-200.0
-25.0,-5.0,-225.0
-25.0,-5.0,-250.0
-25.0,-5.0,-275.0
-25.0,-5.0,-300.0
-25.0,-5.0,-325.0
-25.0,-5.0,-350.0
-25.0,-5.0,-375.0
-25.0,-5.0,-400.0
-25.0,-5.0,-425.0
-25.0,-5.0,-450.0
-25.0,-5.0,-475.0
-25.0,-5.0,-500.0
0.0,-5.0,500.0
0.0,-5.0,475.0
0.0,-5.0,450.0
0.0,-5.0,425.0
0.0,-5.0,400.0
0.0,-5.0,375.0
0.0,-5.0,350.0
0.0,-5.0,325.0
0.0,-5.0,300.0
0.0,-5.0,275.0
0.0,-5.0,250.0
0.0,-5.0,225.0
0.0,-5.0,200.0
0.0,-5.0,175.0
0.0,21.3,150.0
0.0,21.3,125.0
0.0,45.7,100.0
0.0,21.3,75.0
0.0,42.3,50.0
0.0,34.6,25.0
0.0,62.8,0.0
0.0,73.7,-25.0
0.0,73.7,-50.0
0.0,73.7,-75.0
0.0,87.9,-100.0
0.0,62.7,-125.0
0.0,62.7,-150.0
0.0,46.3,-175.0
0.0,26.8,-200.0
0.0,20.1,-225.0
0.0,20.1,-250.0
0.0,-5.0,-275.0
0.0,-5.0,-300.0
0.0,-5.0,-325.0
0.0,-5.0,-350.0
0.0,-5.0,-375.0
0.0,-5.0,-400.0
0.0,-5.0,-425.0
0.0,-5.0,-450.0
0.0,-5.0,-475.0
0.0,-5.0,-500.0
25.0,-5.0,500.0
25.0,-5.0,475.0
25.0,-5.0,450.0
25.0,-5.0,425.0
25.0,-5.0,400.0
25.0,-5.0,375.0
25.0,-5.0,350.0
25.0,-5.0,325.0
25.0,-5.0,300.0
25.0,-5.0,275.0
25.0,-5.0,250.0
25.0,-5.0,225.0
25.0,-5.0,200.0
25.0,-5.0,175.0
25.0,21.3,150.0
25.0,43.7,125.0
25.0,21.3,100.0
25.0,21.3,75.0
25.0,40.1,50.0
25.0,34.7,25.0
25.0,64.2,0.0
25.0,92.4,-25.0
25.0,73.7,-50.0
25.0,73.7,-75.0
25.0,96.4,-100.0
25.0,68.2,-125.0
25.0,51.8,-150.0
25.0,83.9,-175.0
25.0,51.8,-200.0
25.0,48.5,-225.0
25.0,20.1,-250.0
25.0,-5.0,-275.0
25.0,-5.0,-300.0
25.0,-5.0,-325.0
25.0,-5.0,-350.0
25.0,-5.0,-375.0
25.0,-5.0,-400.0
25.0,-5.0,-425.0
25.0,-5.0,-450.0
25.0,-5.0,-475.0
25.0,-5.0,-500.0
50.0,-5.0,500.0
50.0,-5.0,475.0
50.0,-5.0,450.0
50.0,-5.0,425.0
50.0,-5.0,400.0
50.0,-5.0,375.0
50.0,-5.0,350.0
50.0,-5.0,325.0
50.0,-5.0,300.0
50.0,-5.0,275.0
50.0,-5.0,250.0
50.0,-5.0,225.0
50.0,-5.0,200.0
50.0,-5.0,175.0
50.0,-5.0,150.0
50.0,-5.0,125.0
50.0,-5.0,100.0
50.0,-5.0,75.0
50.0,-5.0,50.0
50.0,26.8,25.0
50.0,64.2,0.0
50.0,64.2,-25.0
50.0,73.7,-50.0
50.0,73.7,-75.0
50.0,83.2,-100.0
50.0,80.2,-125.0
50.0,80.2,-150.0
50.0,80.2,-175.0
50.0,48.5,-200.0
50.0,48.5,-225.0
50.0,20.1,-250.0
50.0,16.7,-275.0
50.0,16.7,-300.0
50.0,-5.0,-325.0
50.0,-5.0,-350.0
50.0,-5.0,-375.0
50.0,-5.0,-400.0
50.0,-5.0,-425.0
50.0,-5.0,-450.0
50.0,-5.0,-475.0
50.0,-5.0,-500.0
75.0,-5.0,500.0
75.0,-5.0,475.0
75.0,-5.0,450.0
75.0,-5.0,425.0
75.0,-5.0,400.0
75.0,-5.0,375.0
75.0,-5.0,350.0
75.0,-5.0,325.0
75.0,-5.0,300.0
75.0,-5.0,275.0
75.0,-5.0,250.0
75.0,-5.0,225.0
75.0,-5.0,200.0
75.0,-5.0,175.0
75.0,-5.0,150.0
75.0,-5.0,125.0
75.0,-5.0,100.0
75.0,-5.0,75.0
75.0,-5.0,50.0
75.0,-5.0,25.0
75.0,13.7,0.0
75.0,13.7,-25.0
75.0,73.7,-50.0
75.0,73.7,-75.0
75.0,121.4,-100.0
75.0,80.2,-125.0
75.0,80.2,-150.0
75.0,80.2,-175.0
75.0,48.5,-200.0
75.0,49.3,-225.0
75.0,41.8,-250.0
75.0,16.7,-275.0
75.0,16.7,-300.0
75.0,-5.0,-325.0
75.0,-5.0,-350.0
75.0,-5.0,-375.0
75.0,-5.0,-400.0
75.0,-5.0,-425.0
75.0,-5.0,-450.0
75.0,-5.0,-475.0
75.0,-5.0,-500.0
100.0,-5.0,500.0
100.0,-5.0,475.0
100.0,-5.0,450.0
100.0,-5.0,425.0
